American Beauty (1999)	American Beauty (1999)	6.4548383
American Beauty (1999)	Shakespeare in Love (1998)	6.0144
American Beauty (1999)	Being John Malkovich (1999)	5.940822
American Beauty (1999)	Fargo (1996)	5.912978
American Beauty (1999)	One Flew Over the Cuckoo's Nest (1975)	5.87227
American Beauty (1999)	Princess Bride, The (1987)	5.8178587
American Beauty (1999)	South Park: Bigger, Longer and Uncut (1999)	5.780787
American Beauty (1999)	Talented Mr. Ripley, The (1999)	5.76579
American Beauty (1999)	Election (1999)	5.749089
American Beauty (1999)	Ghostbusters (1984)	5.7225475
American Beauty (1999)	Pulp Fiction (1994)	5.718266
Star Wars: Episode IV - A New Hope (1977)	Star Wars: Episode IV - A New Hope (1977)	6.388281
Star Wars: Episode IV - A New Hope (1977)	Star Wars: Episode V - The Empire Strikes Back (1980)	6.1324315
Star Wars: Episode IV - A New Hope (1977)	Star Wars: Episode VI - Return of the Jedi (1983)	6.0931673
Star Wars: Episode IV - A New Hope (1977)	Raiders of the Lost Ark (1981)	6.0768924
Star Wars: Episode IV - A New Hope (1977)	Aliens (1986)	5.8685904
Star Wars: Episode IV - A New Hope (1977)	Alien (1979)	5.8607464
Star Wars: Episode IV - A New Hope (1977)	Close Encounters of the Third Kind (1977)	5.795235
Star Wars: Episode IV - A New Hope (1977)	Indiana Jones and the Last Crusade (1989)	5.7538095
Star Wars: Episode IV - A New Hope (1977)	Godfather, The (1972)	5.747706
Star Wars: Episode IV - A New Hope (1977)	Blade Runner (1982)	5.7225766
Star Wars: Episode IV - A New Hope (1977)	Braveheart (1995)	5.7109365
Star Wars: Episode V - The Empire Strikes Back (1980)	Star Wars: Episode V - The Empire Strikes Back (1980)	6.6431484
Star Wars: Episode V - The Empire Strikes Back (1980)	Star Wars: Episode IV - A New Hope (1977)	6.3770914
Star Wars: Episode V - The Empire Strikes Back (1980)	Star Wars: Episode VI - Return of the Jedi (1983)	6.114305
Star Wars: Episode V - The Empire Strikes Back (1980)	Raiders of the Lost Ark (1981)	6.0236645
Star Wars: Episode V - The Empire Strikes Back (1980)	Aliens (1986)	5.891776
Star Wars: Episode V - The Empire Strikes Back (1980)	Indiana Jones and the Last Crusade (1989)	5.875952
Star Wars: Episode V - The Empire Strikes Back (1980)	Back to the Future (1985)	5.792771
Star Wars: Episode V - The Empire Strikes Back (1980)	Alien (1979)	5.6993585
Star Wars: Episode V - The Empire Strikes Back (1980)	Men in Black (1997)	5.6832447
Star Wars: Episode V - The Empire Strikes Back (1980)	Braveheart (1995)	5.676635
Star Wars: Episode V - The Empire Strikes Back (1980)	Close Encounters of the Third Kind (1977)	5.6751165
